parent_node,full_path,total_papers,leaf_count,top_keywords,top_methods,top_problems,summary,original_nodes,aggregation_type
人脸分析与识别,人脸分析与识别,16,13,micro-expressions; face recognition; Affective Computing; Facial Expressive Behaviour; Face Videos,Facial Expressive Behaviour Analysis; discrete emotion classification; automatic micro-expression recognition; dynamic movement analysis; head pose augmentation during testing,Robust and Reliable System Construction; Naturalistic and In-the-wild Analysis; Real-time Facial Expressive Behaviour Analysis; lack of convincing analysis of subtle dynamic movement; focus on discrete emotion classification,"该聚合领域包含7个子领域，共16篇论文。 主要关键词：micro-expressions, face recognition, Affective Computing。",人脸分析; 生物特征识别; 生物特征识别与生理信号分析; 人脸分析与识别; 人脸识别; 人脸识别与伪造检测; 人脸识别与分析,predefined
AI系统与应用,AI系统与应用,10,8,Recommender systems; Large Language Models (LLMs); Personalized content; User preferences; Prompt-based recommendation,Prompt-based recommendation using LLMs; User preference modeling; Behavior analysis; systematic investigation; design dimension analysis,Personalized recommendation; Task-specific adaptation; Modeling user preferences and behaviors; collaborative reasoning performance enhancement; under-explored collaboration structure design,"该聚合领域包含8个子领域，共10篇论文。 主要关键词：Recommender systems, Large Language Models (LLMs), Personalized content。",推荐系统; 多智能体系统; 可解释人工智能; 多智能体系统与智能体协作; 智能教育与教育技术; 表格数据建模; 聚类算法; 神经符号方法,predefined
文档分析与OCR,文档分析与OCR,9,4,Visual Document Understanding; Text-rich Visual Content; Visual Perception; Textual Comprehension; Document Types,Multimodal Fusion; Layout Analysis; Context-aware Modeling; visual heatmap generation; self-explainable framework,Integration of Visual and Textual Information; Handling Diverse Document Types; Parsing Complex Layouts; lack of interpretability in document QA; identifying contextually critical regions,"该聚合领域包含3个子领域，共9篇论文。 主要关键词：Visual Document Understanding, Text-rich Visual Content, Visual Perception。",文档图像理解; 图像理解与文档分析; 光学字符识别,predefined
多语言处理,多语言处理,9,7,multilingual; large language models; reasoning; cross-lingual; chain-of-thoughts (CoTs),chain-of-thoughts (CoT) finetuning; scaling up model size; cross-lingual evaluation; English-centric training; multilingual pretraining,推理能力主要集中在英语; 跨语言推理能力泛化; 多语言大模型推理能力评估; 链式思维推理方法的跨语言适用性; 模型规模对跨语言推理的影响,"该聚合领域包含4个子领域，共9篇论文。 主要关键词：multilingual, large language models, reasoning。",多语言与跨语言处理; 机器翻译; 多语言与低资源语言处理; 多语言处理,predefined
专用文本技术,专用文本技术,9,8,statistical analysis; corpora; power law; natural languages; universal principles,statistical analysis of corpora; power-law distribution modeling; 自动评分模型; 评分解释生成; TextBugger,quantitative investigation of natural languages; identification of universal linguistic principles; emergence of power laws in language; 评分粒度过粗; 缺乏评分解释性,"该聚合领域包含8个子领域，共9篇论文。 主要关键词：statistical analysis, corpora, power law。",语言建模与句法分析; 自动文本评测与评分; 鲁棒性与对抗性方法; 结构化序列建模; 语义通信与表示学习; 文本校正与纠错; 推理与常识推理; 计算文学与数字人文,predefined
图像安全与取证,图像安全与取证,7,7,Quantum Dempster-Shafer Theory (QDST); Quantum Mass Function (QMF); Quantum Interference; Quantum Parallel Computing; Fuzzy Metric,Quantum Dempster-Shafer Theory (QDST); Quantum Mass Function (QMF); Quantum Parallel Computing; Deep Learning Model Compression; Edge Deployment Optimization,高效管理多源信息的不确定性; 提升分布外检测的计算效率; 构建更具表达力的不确定性度量; Limited Computational Power; Bandwidth Constraints,"该聚合领域包含7个子领域，共7篇论文。 主要关键词：Quantum Dempster-Shafer Theory (QDST), Quantum Mass Function (QMF), Quantum Interference。",异常检测与不确定性建模; 异常检测; 图像取证与图像鉴别; 图像隐私保护; 异常检测与场景理解; 图像取证与伪造检测; 图像取证与安全,predefined
图形学与渲染,图形学与渲染,7,6,3D Gaussian Splatting; multi-view images; 3D asset reconstruction; explicit representation; digital worlds composition,3D Gaussian primitives; multi-view image fusion; explicit and discrete representation; GPU-based skeletal animation; CPU-based skeletal animation,高质量三维资产重建; 复杂数字世界的无缝组合; 点云渲染效率与质量提升; CPU performance bottleneck; scalability for large-scale characters,"该聚合领域包含6个子领域，共7篇论文。 主要关键词：3D Gaussian Splatting, multi-view images, 3D asset reconstruction。",实时渲染; 动画与仿真; 真实感渲染; 物理基础渲染; 三维建模与渲染; 图形渲染与显示技术,predefined
遥感与地理分析,遥感与地理分析,6,6,遥感图像; Monocular Height Estimation; damage assessment; 灌溉方式映射; 大规模数据集,Deep Learning-based Monocular Estimation; 多源遥感数据融合; 大规模数据集构建; 辅助数据集成; 基于光谱特征的模型,灌溉方式自动识别; Lack of Sufficient Structural Information; label disagreement between data sources; 大规模区域映射; 多源数据集成挑战,"该聚合领域包含2个子领域，共6篇论文。 主要关键词：遥感图像, Monocular Height Estimation, damage assessment。",遥感图像分析; 遥感与地理空间视觉分析,predefined
文本表示技术,文本表示技术,6,6,semantic transparency; morphological processing; word recognition; embedding; computational operationalization,embedding-based measures; computational modeling; Word2Vec; FastText; BERT-based embedding extraction,operationalization of semantic transparency; impact of semantic transparency on word recognition and reading; evaluation of embedding-based measures; effectiveness of static vs. contextual embeddings; evaluation of word embeddings for Hungarian,"该聚合领域包含5个子领域，共6篇论文。 主要关键词：semantic transparency, morphological processing, word recognition。",词汇与语义建模; 词表示与嵌入; 文本表示学习; 文本表示与压缩; 文本表示与嵌入,predefined
语音与音频处理,语音与音频处理,5,5,self-supervised learning; speech processing; benchmark; target-speaker; single-speaker,self-supervised learning models; benchmark evaluation; Intermediate Language Design; Comparative Model Analysis; Behavioral Investigation,缺乏针对目标说话人任务的评测基准; 目标说话人任务在噪声环境下的挑战; Handling Homographs; Processing Ezafe Construction; Addressing Formal and Informal Language Variants,"该聚合领域包含5个子领域，共5篇论文。 主要关键词：self-supervised learning, speech processing, benchmark。",语音处理; 语音与文本转换; 语音生成与合成; 语音与语言信号处理; 语音语言理解,predefined
代码智能,代码智能,4,3,Large Language Models; Code Generation; Code Completion; Debugging; Programming Assistance,Large Language Model Training; Benchmark Evaluation; Prompt-based Learning; Cross-lingual Evaluation; Code Completion Algorithms,Limited Language Diversity in Benchmarks; Evaluating LLMs on Code Generation; Generalization to Multilingual Code Understanding; Improving Programming Assistance; Automated Debugging,"该聚合领域包含3个子领域，共4篇论文。 主要关键词：Large Language Models, Code Generation, Code Completion。",代码智能与程序理解; 代码生成与理解; 代码智能与编程语言处理,predefined
数字人文与软件工程,数字人文与软件工程,3,3,digital humanities; textual scholarship; automation; textual traditions; digital approaches,digital analysis; workflow automation; 类图与对象图集成; 对象执行机制; 可视化建模,Implications of digital approaches for textual scholarship; Automatisation of scholarly workflows; Modeling textual traditions; 传统UML工具功能局限; 类图与对象图分离,"该聚合领域包含3个子领域，共3篇论文。 主要关键词：digital humanities, textual scholarship, automation。",数字人文技术; 建模与设计方法; 软件与系统安全,predefined
通信与网络技术,通信与网络技术,2,2,Terahertz (THz) communication; Channel State Information (CSI); 6G; Ultra-wide bandwidth; Path loss,Channel modeling; Spatial CSI reconstruction; Path loss modeling; Specular reflection analysis; real-time content analysis,Severe free space path loss; Minimal diffraction; Specular reflection dominance; Accurate spatial CSI reconstruction; Propagation characteristic modeling,"该聚合领域包含2个子领域，共2篇论文。 主要关键词：Terahertz (THz) communication, Channel State Information (CSI), 6G。",无线通信建模与信道估计; 流媒体传输与内容分发,predefined
AI安全与治理,AI安全与治理,2,2,GPT-based language models; generative pretrained transformer; model providers; user interaction; customization,custom model deployment; platform-based interaction; user-driven customization; comparative analysis; expert benchmarking,Security risks in model customization and deployment; Ensuring safe user interaction; Managing third-party model publication; ill-defined expert criteria; rapid LLM updates,"该聚合领域包含2个子领域，共2篇论文。 主要关键词：GPT-based language models, generative pretrained transformer, model providers。",生成式人工智能安全; 智能助手与协作系统,predefined
知识表示与推理,知识表示与推理,2,2,commonsense knowledge base; ConceptNet; machine learning; explicit knowledge; industry domain,knowledge extraction; domain adaptation; machine learning-based expansion; Temporal knowledge modeling; Temporal reasoning frameworks,domain coverage insufficiency; explicit knowledge acquisition; Temporal validity reasoning in AI; scalability of knowledge base expansion; Knowledge obsolescence detection,"该领域包含2个子领域，共2篇论文。 主要关键词：commonsense knowledge base, ConceptNet, machine learning。",知识表示与推理,original
图像解释与可解释性,图像解释与可解释性,1,1,可解释性; 图像分类; 机器学习模型; 决策过程; 实例级稀疏化,实例级输入稀疏化; 内在可解释预测,理解模型决策过程; 提升模型可解释性; 分析模型失败原因,"该领域包含1个子领域，共1篇论文。 主要关键词：可解释性, 图像分类, 机器学习模型。",图像解释与可解释性,original
